Title,Href,Rating,Stock,Price,Category,Count
A Light in the ...,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,3,Instock,$51.77,Poetry,22
Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,Instock,$53.74,Historical Fiction,20
Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,1,Instock,$50.10,Fiction,20
Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,4,Instock,$47.82,Mystery,20
Sapiens,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,5,Instock,$54.23,History,20
The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1,Instock,$22.65,Young Adult,19
The Dirty Little Secrets ...,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,4,Instock,$33.34,Business,19
The Coming Woman,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,3,Instock,$17.93,Default,19
The Boys in the ...,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,4,Instock,$22.60,Default,19
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1,Instock,$52.15,Poetry,19
Starving Hearts,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2,Instock,$13.99,Default,19
Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,4,Instock,$20.66,Poetry,19
Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,5,Instock,$17.46,Young Adult,19
Scott Pilgrim's Precious Little ...,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,5,Instock,$52.29,Sequential Art,19
Rip it Up and ...,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,5,Instock,$35.02,Music,19
Our Band Could Be ...,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,3,Instock,$57.25,Music,19
Olio,https://books.toscrape.com/catalogue/olio_984/index.html,1,Instock,$23.88,Poetry,19
